month,date,year,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,percent_4hr_target_achieved
200711,2007-11-01,2007,S92000003,S08000031,G107H,Emergency Department,5949,5949,NA,5651,5651,NA,1864,NA,22,NA,3670,NA,112,NA,281,NA,1,NA,0,NA,94.99075474869726
200711,2007-11-01,2007,S92000003,S08000031,G207H,Emergency Department,3302,3302,NA,3185,3185,NA,980,NA,0,NA,2164,NA,41,NA,117,NA,4,NA,0,NA,96.45669291338582
200711,2007-11-01,2007,S92000003,S08000031,G306H,Emergency Department,5412,5412,NA,5320,5320,NA,1446,NA,9,NA,3744,NA,96,NA,117,NA,2,NA,0,NA,98.30007390983
200711,2007-11-01,2007,S92000003,S08000031,G405H,Emergency Department,3750,3750,NA,3590,3590,NA,1079,NA,5,NA,2211,NA,31,NA,424,NA,1,NA,0,NA,95.73333333333333
200711,2007-11-01,2007,S92000003,S08000031,G513H,Emergency Department,3456,3456,NA,3393,3393,NA,515,NA,0,NA,2929,NA,4,NA,8,NA,5,NA,4,NA,98.17708333333334
200711,2007-11-01,2007,S92000003,S08000031,G516H,Emergency Department,4914,4914,NA,4643,4643,NA,1560,NA,13,NA,2974,NA,100,NA,267,NA,12,NA,7,NA,94.48514448514449
200711,2007-11-01,2007,S92000003,S08000022,C103B,Minor Injury Unit or Other,547,NA,z,541,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.90310786106032
200711,2007-11-01,2007,S92000003,S08000022,C106H,Minor Injury Unit or Other,494,NA,z,494,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,C108H,Minor Injury Unit or Other,59,NA,z,57,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,96.61016949152543
200711,2007-11-01,2007,S92000003,S08000022,C110H,Minor Injury Unit or Other,265,NA,z,260,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.11320754716981
200711,2007-11-01,2007,S92000003,S08000022,C113H,Minor Injury Unit or Other,266,NA,z,261,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.1203007518797
200711,2007-11-01,2007,S92000003,S08000022,C117J,Minor Injury Unit or Other,40,NA,z,40,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,C121H,Emergency Department,480,NA,z,476,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.16666666666667
200711,2007-11-01,2007,S92000003,S08000022,H101H,Minor Injury Unit or Other,150,NA,z,150,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,H103H,Emergency Department,473,NA,z,471,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.57716701902748
200711,2007-11-01,2007,S92000003,S08000022,H106H,Minor Injury Unit or Other,37,NA,z,37,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,H202H,Emergency Department,2218,2218,NA,2191,2191,NA,514,NA,16,NA,1687,NA,1,NA,0,NA,0,NA,0,NA,98.78268710550046
200711,2007-11-01,2007,S92000003,S08000022,H208H,Minor Injury Unit or Other,188,NA,z,186,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.93617021276596
200711,2007-11-01,2007,S92000003,S08000022,H210H,Minor Injury Unit or Other,68,NA,z,67,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.52941176470588
200711,2007-11-01,2007,S92000003,S08000022,H212H,Emergency Department,612,NA,z,608,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.34640522875817
200711,2007-11-01,2007,S92000003,S08000022,H214H,Minor Injury Unit or Other,207,NA,z,205,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.03381642512076
200711,2007-11-01,2007,S92000003,S08000022,H215H,Minor Injury Unit or Other,101,NA,z,100,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.00990099009901
200711,2007-11-01,2007,S92000003,S08000022,H217H,Minor Injury Unit or Other,165,NA,z,165,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,H219H,Minor Injury Unit or Other,70,NA,z,70,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000022,H227B,Minor Injury Unit or Other,70,NA,z,69,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.57142857142858
200711,2007-11-01,2007,S92000003,S08000032,L106H,Emergency Department,5208,5208,NA,5145,5145,NA,1528,NA,9,NA,3640,NA,19,NA,12,NA,7,NA,0,NA,98.79032258064517
200711,2007-11-01,2007,S92000003,S08000032,L206H,Minor Injury Unit or Other,123,NA,z,123,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000032,L207H,Minor Injury Unit or Other,126,NA,z,126,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000032,L302H,Emergency Department,4526,4526,NA,4323,4323,NA,998,NA,7,NA,3483,NA,15,NA,23,NA,34,NA,20,NA,95.51480335837384
200711,2007-11-01,2007,S92000003,S08000032,L308H,Emergency Department,5408,5408,NA,5345,5345,NA,1291,NA,7,NA,4073,NA,14,NA,23,NA,7,NA,0,NA,98.83505917159763
200711,2007-11-01,2007,S92000003,S08000024,S116H,Minor Injury Unit or Other,2900,2900,NA,2802,2802,NA,921,NA,1,NA,1967,NA,11,NA,0,NA,10,NA,0,NA,96.62068965517241
200711,2007-11-01,2007,S92000003,S08000024,S308H,Emergency Department,3635,3635,NA,3599,3599,NA,797,NA,2,NA,2576,NA,84,NA,176,NA,0,NA,0,NA,99.00962861072902
200711,2007-11-01,2007,S92000003,S08000024,S314H,Emergency Department,8516,8516,NA,8155,8155,NA,2627,NA,14,NA,5692,NA,183,NA,0,NA,20,NA,0,NA,95.76092062000939
200711,2007-11-01,2007,S92000003,S08000024,S319H,Emergency Department,3002,3002,NA,2964,2964,NA,534,NA,0,NA,2467,NA,1,NA,0,NA,0,NA,0,NA,98.73417721518987
200711,2007-11-01,2007,S92000003,S08000025,R103H,Minor Injury Unit or Other,146,NA,z,146,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000026,Z102H,Emergency Department,622,622,NA,621,621,NA,113,NA,0,NA,489,NA,3,NA,17,NA,0,NA,0,NA,99.83922829581994
200711,2007-11-01,2007,S92000003,S08000030,T101H,Emergency Department,3863,3863,NA,3821,3821,NA,930,NA,15,NA,2798,NA,38,NA,82,NA,1,NA,0,NA,98.91276210199327
200711,2007-11-01,2007,S92000003,S08000030,T202H,Emergency Department,1938,1938,NA,1930,1930,NA,334,NA,6,NA,1437,NA,40,NA,121,NA,0,NA,0,NA,99.58720330237358
200711,2007-11-01,2007,S92000003,S08000030,T208H,Minor Injury Unit or Other,28,28,NA,28,28,NA,0,NA,0,NA,28,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000030,T209H,Minor Injury Unit or Other,146,146,NA,146,146,NA,4,NA,0,NA,142,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000030,T304H,Minor Injury Unit or Other,682,682,NA,682,682,NA,33,NA,0,NA,649,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000030,T305H,Minor Injury Unit or Other,143,143,NA,143,143,NA,1,NA,0,NA,142,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000030,T319H,Minor Injury Unit or Other,358,358,NA,358,358,NA,3,NA,0,NA,355,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000030,T357C,Minor Injury Unit or Other,321,321,NA,321,321,NA,7,NA,0,NA,314,NA,0,NA,0,NA,0,NA,0,NA,100
200711,2007-11-01,2007,S92000003,S08000028,W106H,Minor Injury Unit or Other,21,NA,z,21,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200711,2007-11-01,2007,S92000003,S08000028,W107H,Emergency Department,463,463,NA,456,456,NA,115,NA,0,NA,344,NA,0,NA,4,NA,0,NA,0,NA,98.48812095032397
200711,2007-11-01,2007,S92000003,S08000028,W108H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000015,A101H,Minor Injury Unit or Other,140,NA,z,140,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000015,A110H,Minor Injury Unit or Other,33,NA,z,33,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000015,A111H,Emergency Department,5067,5067,NA,4979,4979,NA,2147,NA,5,NA,2739,NA,58,NA,118,NA,2,NA,0,NA,98.26327215314782
200712,2007-12-01,2007,S92000003,S08000015,A207H,Minor Injury Unit or Other,49,NA,z,49,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000015,A210H,Emergency Department,3189,3189,NA,3094,3094,NA,1247,NA,0,NA,1801,NA,73,NA,68,NA,1,NA,0,NA,97.02100972091566
200712,2007-12-01,2007,S92000003,S08000016,B103H,Minor Injury Unit or Other,8,NA,z,8,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000016,B105H,Minor Injury Unit or Other,46,NA,z,46,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000016,B114H,Minor Injury Unit or Other,30,NA,z,30,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000016,B118H,Minor Injury Unit or Other,61,NA,z,61,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000016,B120H,Emergency Department,1962,1962,NA,1919,1919,NA,719,NA,9,NA,1007,NA,21,NA,206,NA,1,NA,0,NA,97.80835881753312
200712,2007-12-01,2007,S92000003,S08000017,Y101H,Minor Injury Unit or Other,58,NA,z,58,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000017,Y106H,Minor Injury Unit or Other,63,NA,z,63,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000017,Y109H,Minor Injury Unit or Other,7,NA,z,7,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000017,Y110H,Minor Injury Unit or Other,59,NA,z,59,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000017,Y144H,Emergency Department,860,860,NA,851,851,NA,53,NA,0,NA,737,NA,6,NA,64,NA,0,NA,0,NA,98.95348837209302
200712,2007-12-01,2007,S92000003,S08000017,Y146H,Emergency Department,2813,2813,NA,2743,2743,NA,1020,NA,4,NA,1740,NA,20,NA,29,NA,0,NA,0,NA,97.5115535015997
200712,2007-12-01,2007,S92000003,S08000029,F704H,Emergency Department,3426,3426,NA,3348,3348,NA,671,NA,163,NA,2479,NA,38,NA,75,NA,4,NA,0,NA,97.72329246935202
200712,2007-12-01,2007,S92000003,S08000029,F708H,Minor Injury Unit or Other,116,NA,z,116,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000029,F709H,Minor Injury Unit or Other,208,NA,z,208,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000029,F805H,Emergency Department,3106,3106,NA,3037,3037,NA,690,NA,133,NA,2164,NA,22,NA,97,NA,3,NA,0,NA,97.77849323889247
200712,2007-12-01,2007,S92000003,S08000019,V102H,Minor Injury Unit or Other,1505,1505,NA,1497,1497,NA,0,NA,0,NA,1029,NA,193,NA,283,NA,0,NA,0,NA,99.46843853820599
200712,2007-12-01,2007,S92000003,S08000019,V201H,Emergency Department,3798,3798,NA,3704,3704,NA,1173,NA,10,NA,2127,NA,28,NA,460,NA,2,NA,0,NA,97.52501316482359
200712,2007-12-01,2007,S92000003,S08000020,N101H,Emergency Department,5040,5040,NA,4806,4806,NA,1319,NA,32,NA,3575,NA,84,NA,30,NA,26,NA,2,NA,95.35714285714286
200712,2007-12-01,2007,S92000003,S08000020,N121H,Emergency Department,1227,1227,NA,1225,1225,NA,376,NA,0,NA,850,NA,1,NA,0,NA,0,NA,0,NA,99.83700081499592
200712,2007-12-01,2007,S92000003,S08000020,N151H,Minor Injury Unit or Other,67,NA,z,67,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N331H,Minor Injury Unit or Other,16,NA,z,16,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N332H,Minor Injury Unit or Other,51,NA,z,51,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N333H,Minor Injury Unit or Other,1110,NA,z,1109,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.90990990990991
200712,2007-12-01,2007,S92000003,S08000020,N334H,Minor Injury Unit or Other,813,NA,z,805,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.0159901599016
200712,2007-12-01,2007,S92000003,S08000020,N335H,Minor Injury Unit or Other,198,NA,z,198,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N336H,Minor Injury Unit or Other,162,NA,z,162,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N337H,Minor Injury Unit or Other,282,NA,z,282,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N411H,Emergency Department,1736,1736,NA,1679,1679,NA,516,NA,7,NA,1148,NA,31,NA,34,NA,1,NA,0,NA,96.71658986175116
200712,2007-12-01,2007,S92000003,S08000020,N431H,Minor Injury Unit or Other,76,NA,z,76,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N432H,Minor Injury Unit or Other,26,NA,z,26,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N433H,Minor Injury Unit or Other,93,NA,z,93,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N434H,Minor Injury Unit or Other,44,NA,z,44,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N451H,Minor Injury Unit or Other,29,NA,z,29,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000020,N494H,Minor Injury Unit or Other,91,91,NA,91,91,NA,0,NA,0,NA,75,NA,16,NA,0,NA,0,NA,0,NA,100
200712,2007-12-01,2007,S92000003,S08000031,C206H,Minor Injury Unit or Other,1082,1082,NA,1061,1061,NA,322,NA,1,NA,677,NA,69,NA,13,NA,0,NA,0,NA,98.05914972273567
200712,2007-12-01,2007,S92000003,S08000031,C313H,Emergency Department,2426,2426,NA,2370,2370,NA,618,NA,3,NA,1647,NA,32,NA,126,NA,1,NA,0,NA,97.69167353668591
200712,2007-12-01,2007,S92000003,S08000031,C418H,Emergency Department,5281,5281,NA,5135,5135,NA,1679,NA,8,NA,3063,NA,58,NA,473,NA,0,NA,0,NA,97.23537208861957
200712,2007-12-01,2007,S92000003,S08000031,G107H,Emergency Department,5898,5898,NA,5792,5792,NA,1917,NA,20,NA,3555,NA,107,NA,299,NA,4,NA,0,NA,98.20278060359445
200712,2007-12-01,2007,S92000003,S08000031,G207H,Emergency Department,3227,3227,NA,3149,3149,NA,1061,NA,0,NA,1893,NA,54,NA,219,NA,2,NA,0,NA,97.58289432909824
200712,2007-12-01,2007,S92000003,S08000031,G306H,Emergency Department,5267,5267,NA,5171,5171,NA,1481,NA,25,NA,3592,NA,128,NA,41,NA,4,NA,0,NA,98.17733054869944
200712,2007-12-01,2007,S92000003,S08000031,G405H,Emergency Department,3652,3652,NA,3603,3603,NA,1186,NA,4,NA,2329,NA,36,NA,97,NA,1,NA,0,NA,98.65826944140197
200712,2007-12-01,2007,S92000003,S08000031,G513H,Emergency Department,3685,3685,NA,3611,3611,NA,566,NA,67,NA,3049,NA,1,NA,2,NA,0,NA,0,NA,97.99185888738128
200712,2007-12-01,2007,S92000003,S08000031,G516H,Emergency Department,4837,4837,NA,4682,4682,NA,1613,NA,15,NA,2752,NA,137,NA,320,NA,10,NA,1,NA,96.7955344221625
200712,2007-12-01,2007,S92000003,S08000022,C103B,Minor Injury Unit or Other,507,NA,z,498,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.22485207100591
200712,2007-12-01,2007,S92000003,S08000022,C106H,Minor Injury Unit or Other,464,NA,z,464,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,C108H,Minor Injury Unit or Other,58,NA,z,56,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,96.55172413793103
200712,2007-12-01,2007,S92000003,S08000022,C110H,Minor Injury Unit or Other,303,NA,z,297,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.01980198019803
200712,2007-12-01,2007,S92000003,S08000022,C113H,Minor Injury Unit or Other,340,NA,z,336,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.82352941176471
200712,2007-12-01,2007,S92000003,S08000022,C117J,Minor Injury Unit or Other,40,NA,z,39,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,97.5
200712,2007-12-01,2007,S92000003,S08000022,C121H,Emergency Department,420,NA,z,418,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.52380952380952
200712,2007-12-01,2007,S92000003,S08000022,H101H,Minor Injury Unit or Other,107,NA,z,107,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,H103H,Emergency Department,490,NA,z,481,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.16326530612245
200712,2007-12-01,2007,S92000003,S08000022,H106H,Minor Injury Unit or Other,47,NA,z,47,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,H202H,Emergency Department,2332,2332,NA,2299,2299,NA,534,NA,26,NA,1772,NA,0,NA,0,NA,2,NA,0,NA,98.58490566037736
200712,2007-12-01,2007,S92000003,S08000022,H208H,Minor Injury Unit or Other,173,NA,z,172,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.42196531791907
200712,2007-12-01,2007,S92000003,S08000022,H210H,Minor Injury Unit or Other,53,NA,z,53,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,H212H,Emergency Department,590,NA,z,577,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,97.79661016949153
200712,2007-12-01,2007,S92000003,S08000022,H214H,Minor Injury Unit or Other,217,NA,z,212,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,97.6958525345622
200712,2007-12-01,2007,S92000003,S08000022,H215H,Minor Injury Unit or Other,121,NA,z,120,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.17355371900827
200712,2007-12-01,2007,S92000003,S08000022,H217H,Minor Injury Unit or Other,145,NA,z,145,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,H219H,Minor Injury Unit or Other,55,NA,z,55,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000022,H227B,Minor Injury Unit or Other,106,NA,z,106,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000032,L106H,Emergency Department,5193,5193,NA,5137,5137,NA,1632,NA,11,NA,3517,NA,20,NA,13,NA,5,NA,0,NA,98.92162526477951
200712,2007-12-01,2007,S92000003,S08000032,L206H,Minor Injury Unit or Other,176,NA,z,176,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000032,L207H,Minor Injury Unit or Other,112,NA,z,112,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000032,L302H,Emergency Department,4488,4488,NA,4433,4433,NA,1121,NA,12,NA,3310,NA,13,NA,32,NA,2,NA,0,NA,98.77450980392157
200712,2007-12-01,2007,S92000003,S08000032,L308H,Emergency Department,5264,5264,NA,5197,5197,NA,1359,NA,11,NA,3852,NA,18,NA,24,NA,26,NA,15,NA,98.72720364741642
200712,2007-12-01,2007,S92000003,S08000024,S102H,Minor Injury Unit or Other,7,NA,z,7,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000024,S108H,Minor Injury Unit or Other,131,NA,z,131,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000024,S116H,Minor Injury Unit or Other,2670,2670,NA,2584,2584,NA,964,NA,3,NA,1680,NA,23,NA,0,NA,0,NA,0,NA,96.77902621722848
200712,2007-12-01,2007,S92000003,S08000024,S308H,Emergency Department,3711,3711,NA,3671,3671,NA,799,NA,7,NA,2579,NA,89,NA,237,NA,2,NA,0,NA,98.92212341686877
200712,2007-12-01,2007,S92000003,S08000024,S314H,Emergency Department,8567,8567,NA,8146,8146,NA,2796,NA,24,NA,5576,NA,171,NA,0,NA,36,NA,0,NA,95.08579432706898
200712,2007-12-01,2007,S92000003,S08000024,S319H,Emergency Department,2916,2916,NA,2896,2896,NA,528,NA,0,NA,2387,NA,1,NA,0,NA,0,NA,0,NA,99.31412894375858
200712,2007-12-01,2007,S92000003,S08000025,R103H,Minor Injury Unit or Other,154,NA,z,154,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000026,Z102H,Emergency Department,704,704,NA,698,698,NA,129,NA,2,NA,550,NA,3,NA,20,NA,0,NA,0,NA,99.14772727272727
200712,2007-12-01,2007,S92000003,S08000030,T101H,Emergency Department,3902,3902,NA,3816,3816,NA,1128,NA,18,NA,2451,NA,31,NA,274,NA,1,NA,0,NA,97.79600205023064
200712,2007-12-01,2007,S92000003,S08000030,T202H,Emergency Department,2058,2058,NA,1952,1952,NA,437,NA,4,NA,1366,NA,68,NA,183,NA,6,NA,0,NA,94.84936831875608
200712,2007-12-01,2007,S92000003,S08000030,T208H,Minor Injury Unit or Other,49,49,NA,49,49,NA,0,NA,0,NA,49,NA,0,NA,0,NA,0,NA,0,NA,100
200712,2007-12-01,2007,S92000003,S08000030,T209H,Minor Injury Unit or Other,175,175,NA,175,175,NA,8,NA,0,NA,167,NA,0,NA,0,NA,0,NA,0,NA,100
200712,2007-12-01,2007,S92000003,S08000030,T304H,Minor Injury Unit or Other,840,840,NA,840,840,NA,37,NA,0,NA,803,NA,0,NA,0,NA,0,NA,0,NA,100
200712,2007-12-01,2007,S92000003,S08000030,T305H,Minor Injury Unit or Other,153,153,NA,152,152,NA,2,NA,0,NA,151,NA,0,NA,0,NA,0,NA,0,NA,99.34640522875817
200712,2007-12-01,2007,S92000003,S08000030,T319H,Minor Injury Unit or Other,507,507,NA,506,506,NA,0,NA,0,NA,507,NA,0,NA,0,NA,0,NA,0,NA,99.80276134122288
200712,2007-12-01,2007,S92000003,S08000030,T357C,Minor Injury Unit or Other,387,387,NA,387,387,NA,11,NA,0,NA,376,NA,0,NA,0,NA,0,NA,0,NA,100
200712,2007-12-01,2007,S92000003,S08000028,W106H,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200712,2007-12-01,2007,S92000003,S08000028,W107H,Emergency Department,512,512,NA,504,504,NA,120,NA,0,NA,378,NA,2,NA,12,NA,0,NA,0,NA,98.4375
200712,2007-12-01,2007,S92000003,S08000028,W108H,Minor Injury Unit or Other,80,NA,z,80,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000015,A101H,Minor Injury Unit or Other,153,NA,z,153,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000015,A110H,Minor Injury Unit or Other,77,NA,z,77,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000015,A111H,Emergency Department,5048,5048,NA,4980,4980,NA,2014,NA,4,NA,2770,NA,52,NA,208,NA,0,NA,0,NA,98.6529318541997
200801,2008-01-01,2008,S92000003,S08000015,A207H,Minor Injury Unit or Other,69,NA,z,69,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000015,A210H,Emergency Department,3212,3212,NA,3156,3156,NA,1280,NA,1,NA,1798,NA,77,NA,56,NA,0,NA,0,NA,98.25653798256539
200801,2008-01-01,2008,S92000003,S08000016,B103H,Minor Injury Unit or Other,15,NA,z,15,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000016,B105H,Minor Injury Unit or Other,80,NA,z,80,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200801,2008-01-01,2008,S92000003,S08000016,B114H,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
